TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2023-06-25 00:00:00,-1.328,-0.795,-0.402,-0.892
2023-06-25 00:01:00,-1.328,-0.994,0.000,-0.892
2023-06-25 00:02:00,-1.328,-0.596,-0.402,-0.892
2023-06-25 00:03:00,-1.328,-0.596,-0.201,-0.892
2023-06-25 00:04:00,-1.328,-0.596,-0.602,-0.892
2023-06-25 00:05:00,-1.328,-0.596,-0.402,-0.892
2023-06-25 00:06:00,-1.328,-0.795,-0.602,-0.892
2023-06-25 00:07:00,-1.328,-1.193,-0.602,-0.892
2023-06-25 00:08:00,-1.328,-1.392,-0.602,-0.892
2023-06-25 00:09:00,-1.430,-1.392,-0.602,-0.892
2023-06-25 00:10:00,-2.043,-1.392,-0.602,-0.892
2023-06-25 00:11:00,-2.043,-1.392,-0.602,-0.892
2023-06-25 00:12:00,-2.043,-1.392,-0.602,-0.892
2023-06-25 00:13:00,-2.043,-1.392,-0.602,-0.892
2023-06-25 00:14:00,-2.043,-1.392,-0.602,-1.019
2023-06-25 00:15:00,-2.043,-1.392,-0.602,-1.274
2023-06-25 00:16:00,-2.043,-1.392,-0.602,-1.274
2023-06-25 00:17:00,-2.043,-1.392,-0.602,-1.274
2023-06-25 00:18:00,-2.043,-1.392,-0.602,-1.274
2023-06-25 00:19:00,-2.043,-1.392,-0.803,-1.274
2023-06-25 00:20:00,-2.043,-1.392,-1.004,-1.274
2023-06-25 00:21:00,-2.043,-1.392,-1.406,-1.274
2023-06-25 00:22:00,-2.043,-1.392,-1.406,-1.274
2023-06-25 00:23:00,-2.043,-1.392,-1.606,-1.274
2023-06-25 00:24:00,-2.043,-1.392,-1.406,-1.529
2023-06-25 00:25:00,-2.043,-1.392,-1.606,-1.401
2023-06-25 00:26:00,-2.043,-1.392,-1.406,-1.529
2023-06-25 00:27:00,-2.043,-1.392,-1.406,-1.274
2023-06-25 00:28:00,-2.043,-1.392,-1.205,-1.401
2023-06-25 00:29:00,-1.634,-1.392,-1.406,-1.274
2023-06-25 00:30:00,-1.328,-1.392,-1.406,-1.274
2023-06-25 00:31:00,-1.328,-1.193,-1.406,-1.274
2023-06-25 00:32:00,-1.328,-1.193,-1.406,-1.401
2023-06-25 00:33:00,-1.328,-0.994,-1.807,-1.274
2023-06-25 00:34:00,-1.328,-1.193,-2.008,-1.401
2023-06-25 00:35:00,-1.328,-1.392,-2.008,-1.274
2023-06-25 00:36:00,-1.328,-1.392,-2.008,-1.274
2023-06-25 00:37:00,-1.634,-1.392,-2.008,-1.274
2023-06-25 00:38:00,-2.043,-1.392,-1.807,-1.274
2023-06-25 00:39:00,-1.736,-1.392,-1.807,-1.274
2023-06-25 00:40:00,-1.328,-1.392,-1.807,-1.274
2023-06-25 00:41:00,-1.941,-0.994,-1.807,-1.274
2023-06-25 00:42:00,-2.043,-0.596,-1.606,-1.401
2023-06-25 00:43:00,-1.532,-0.596,-1.807,-1.274
2023-06-25 00:44:00,-1.328,-0.596,-1.606,-1.274
2023-06-25 00:45:00,-1.328,-0.596,-1.606,-1.274
2023-06-25 00:46:00,-1.328,-0.596,-1.606,-1.274
2023-06-25 00:47:00,-1.328,-0.596,-1.406,-1.529
2023-06-25 00:48:00,-1.328,-0.994,-1.807,-1.274
2023-06-25 00:49:00,-1.328,-1.392,-1.606,-1.401
2023-06-25 00:50:00,-1.328,-1.392,-2.008,-1.274
2023-06-25 00:51:00,-1.328,-1.392,-1.406,-1.401
2023-06-25 00:52:00,-1.328,-1.392,-1.606,-1.274
2023-06-25 00:53:00,-1.328,-1.392,-0.803,-1.274
2023-06-25 00:54:00,-1.328,-1.392,-0.803,-1.274
2023-06-25 00:55:00,-1.328,-1.392,-0.602,-1.274
2023-06-25 00:56:00,-1.328,-1.392,-1.205,-1.274
