TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2023-06-16 00:00:00,-2.349,-1.988,-2.610,-1.783
2023-06-16 00:01:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:02:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:03:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:04:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:05:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:06:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:07:00,-2.349,-1.988,-2.610,-1.783
2023-06-16 00:08:00,-2.349,-1.988,-2.610,-1.783
2023-06-16 00:09:00,-2.349,-1.988,-2.610,-1.783
2023-06-16 00:10:00,-2.349,-1.988,-2.610,-1.656
2023-06-16 00:11:00,-2.349,-1.988,-2.610,-1.783
2023-06-16 00:12:00,-2.349,-1.988,-2.610,-1.783
2023-06-16 00:13:00,-2.349,-1.988,-2.610,-1.911
2023-06-16 00:14:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:15:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:16:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:17:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:18:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:19:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:20:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:21:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:22:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:23:00,-2.349,-1.988,-2.610,-2.166
2023-06-16 00:24:00,-2.349,-1.988,-2.610,-2.038
2023-06-16 00:25:00,-2.349,-1.988,-2.610,-1.911
2023-06-16 00:26:00,-2.043,-1.988,-2.610,-1.783
2023-06-16 00:27:00,-2.043,-1.988,-2.610,-1.783
2023-06-16 00:28:00,-2.043,-1.988,-2.610,-2.166
2023-06-16 00:29:00,-2.043,-1.988,-2.610,-2.166
2023-06-16 00:30:00,-2.043,-1.988,-2.610,-2.420
2023-06-16 00:31:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:32:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:33:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:34:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:35:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:36:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:37:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:38:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:39:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:40:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:41:00,-2.043,-1.988,-2.811,-2.548
2023-06-16 00:42:00,-2.043,-1.988,-3.414,-2.548
2023-06-16 00:43:00,-2.043,-1.590,-4.016,-2.548
2023-06-16 00:44:00,-2.043,-1.392,-4.016,-2.548
2023-06-16 00:45:00,-2.043,-1.590,-3.012,-2.548
2023-06-16 00:46:00,-2.043,-1.988,-2.610,-2.548
2023-06-16 00:47:00,-2.043,-1.988,-2.610,-2.420
2023-06-16 00:48:00,-2.043,-1.988,-2.610,-1.911
2023-06-16 00:49:00,-2.043,-1.988,-2.610,-1.656
2023-06-16 00:50:00,-2.043,-1.988,-2.410,-1.656
2023-06-16 00:51:00,-2.043,-1.988,-2.209,-1.656
2023-06-16 00:52:00,-2.043,-1.988,-2.209,-1.656
2023-06-16 00:53:00,-2.043,-1.988,-2.610,-1.656
2023-06-16 00:54:00,-1.736,-1.590,-2.209,-1.656
2023-06-16 00:55:00,-1.736,-1.392,-2.209,-1.656
2023-06-16 00:56:00,-1.634,-1.392,-2.610,-1.656
