TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2023-06-27 00:00:00,0.000,0.596,-1.406,-1.529
2023-06-27 00:01:00,0.000,0.596,-1.406,-1.656
2023-06-27 00:02:00,0.000,0.596,-1.406,-1.656
2023-06-27 00:03:00,0.000,0.398,-1.205,-1.656
2023-06-27 00:04:00,0.000,0.000,-1.406,-1.656
2023-06-27 00:05:00,0.000,0.000,-1.406,-1.656
2023-06-27 00:06:00,0.000,0.000,-1.406,-1.656
2023-06-27 00:07:00,-0.102,0.000,-1.205,-1.656
2023-06-27 00:08:00,-0.306,0.000,-1.205,-1.656
2023-06-27 00:09:00,-0.306,0.000,-0.602,-1.274
2023-06-27 00:10:00,-0.409,0.000,-0.602,-1.274
2023-06-27 00:11:00,-0.409,0.000,-0.602,-1.274
2023-06-27 00:12:00,-0.306,0.000,-0.602,-1.274
2023-06-27 00:13:00,-0.306,0.000,-1.004,-1.274
2023-06-27 00:14:00,-0.511,0.000,-1.406,-1.274
2023-06-27 00:15:00,-0.715,0.000,-1.807,-1.274
2023-06-27 00:16:00,-0.715,0.000,-2.008,-1.274
2023-06-27 00:17:00,-0.715,-0.199,-2.008,-1.274
2023-06-27 00:18:00,-1.124,-1.193,-2.008,-1.274
2023-06-27 00:19:00,-1.328,-1.392,-1.807,-1.274
2023-06-27 00:20:00,-1.328,-1.392,-1.406,-1.401
2023-06-27 00:21:00,-1.328,-1.392,-1.606,-1.274
2023-06-27 00:22:00,-1.532,-1.392,-2.008,-1.529
2023-06-27 00:23:00,-1.839,-1.392,-2.008,-1.656
2023-06-27 00:24:00,-2.043,-1.392,-2.008,-1.656
2023-06-27 00:25:00,-2.043,-1.392,-2.008,-1.656
2023-06-27 00:26:00,-2.043,-1.590,-2.008,-1.656
2023-06-27 00:27:00,-2.043,-1.988,-1.406,-1.656
2023-06-27 00:28:00,-2.247,-2.187,-1.004,-1.656
2023-06-27 00:29:00,-2.349,-2.584,-0.602,-1.656
2023-06-27 00:30:00,-2.349,-2.584,-0.602,-1.656
2023-06-27 00:31:00,-2.349,-2.584,-0.803,-1.656
2023-06-27 00:32:00,-2.349,-2.584,-0.602,-1.656
2023-06-27 00:33:00,-2.349,-2.584,-0.803,-1.529
2023-06-27 00:34:00,-2.349,-2.584,-1.205,-1.401
2023-06-27 00:35:00,-2.145,-1.988,-1.606,-1.529
2023-06-27 00:36:00,-2.043,-1.988,-2.008,-1.656
2023-06-27 00:37:00,-2.043,-1.590,-2.008,-1.656
2023-06-27 00:38:00,-2.043,-1.392,-1.807,-1.656
2023-06-27 00:39:00,-2.043,-1.392,-1.406,-1.656
2023-06-27 00:40:00,-2.043,-1.392,-1.406,-1.656
2023-06-27 00:41:00,-2.043,-1.392,-1.406,-1.656
2023-06-27 00:42:00,-2.043,-1.392,-1.406,-1.529
2023-06-27 00:43:00,-2.043,-1.392,-1.807,-1.401
2023-06-27 00:44:00,-2.043,-1.392,-2.008,-1.401
2023-06-27 00:45:00,-2.043,-1.392,-2.008,-1.274
2023-06-27 00:46:00,-2.043,-1.392,-1.606,-1.529
2023-06-27 00:47:00,-2.043,-1.392,-1.406,-1.656
2023-06-27 00:48:00,-2.043,-1.392,-1.406,-1.656
2023-06-27 00:49:00,-2.349,-1.392,-1.406,-1.529
2023-06-27 00:50:00,-2.349,-1.392,-1.406,-1.656
2023-06-27 00:51:00,-2.349,-1.392,-1.406,-1.656
2023-06-27 00:52:00,-2.349,-1.392,-1.406,-1.529
2023-06-27 00:53:00,-2.145,-1.392,-1.807,-1.656
2023-06-27 00:54:00,-2.145,-1.392,-2.008,-1.656
2023-06-27 00:55:00,-2.349,-1.590,-2.008,-1.656
2023-06-27 00:56:00,-2.349,-1.988,-2.008,-1.274
2023-06-27 00:57:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 00:58:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 00:59:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 01:00:00,-2.349,-2.584,-2.008,-1.783
2023-06-27 01:01:00,-2.554,-2.584,-2.008,-2.038
2023-06-27 01:02:00,-2.758,-2.584,-1.406,-1.783
2023-06-27 01:03:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:04:00,-3.064,-2.584,-1.606,-1.656
2023-06-27 01:05:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:06:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:07:00,-3.064,-2.584,-1.205,-1.656
2023-06-27 01:08:00,-3.064,-2.584,-1.004,-1.656
2023-06-27 01:09:00,-3.064,-2.584,-0.602,-1.656
2023-06-27 01:10:00,-3.064,-2.584,-0.602,-1.656
2023-06-27 01:11:00,-3.064,-2.584,-1.004,-1.656
2023-06-27 01:12:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:13:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:14:00,-3.064,-2.584,-1.606,-1.656
2023-06-27 01:15:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:16:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:17:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:18:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:19:00,-3.064,-2.584,-1.406,-1.656
2023-06-27 01:20:00,-2.758,-2.584,-1.807,-1.656
2023-06-27 01:21:00,-2.554,-2.584,-2.008,-1.656
2023-06-27 01:22:00,-2.349,-2.584,-1.406,-1.656
2023-06-27 01:23:00,-2.349,-2.584,-1.406,-1.656
2023-06-27 01:24:00,-2.349,-2.584,-1.606,-1.656
2023-06-27 01:25:00,-2.349,-2.584,-1.606,-1.656
2023-06-27 01:26:00,-2.656,-2.584,-1.406,-1.911
2023-06-27 01:27:00,-2.758,-2.584,-1.807,-1.783
2023-06-27 01:28:00,-2.962,-2.584,-2.008,-2.166
2023-06-27 01:29:00,-2.962,-2.584,-2.008,-2.166
2023-06-27 01:30:00,-2.758,-2.584,-2.008,-2.166
2023-06-27 01:31:00,-2.758,-2.584,-2.008,-2.166
2023-06-27 01:32:00,-2.758,-2.584,-2.008,-2.166
2023-06-27 01:33:00,-2.758,-2.584,-2.008,-2.166
2023-06-27 01:34:00,-2.758,-2.584,-1.606,-2.166
2023-06-27 01:35:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:36:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:37:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:38:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:39:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:40:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:41:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 01:42:00,-2.758,-2.584,-1.807,-2.166
2023-06-27 01:43:00,-2.656,-2.584,-2.008,-2.166
2023-06-27 01:44:00,-2.349,-2.187,-2.008,-2.166
2023-06-27 01:45:00,-2.349,-1.988,-2.008,-2.166
2023-06-27 01:46:00,-2.349,-1.789,-1.807,-2.166
2023-06-27 01:47:00,-2.349,-1.392,-1.807,-2.166
2023-06-27 01:48:00,-2.145,-1.392,-1.406,-2.166
2023-06-27 01:49:00,-2.043,-1.392,-1.807,-2.166
2023-06-27 01:50:00,-2.043,-1.392,-1.406,-2.166
2023-06-27 01:51:00,-2.043,-1.392,-1.406,-2.166
2023-06-27 01:52:00,-2.043,-1.392,-1.406,-2.166
2023-06-27 01:53:00,-2.145,-1.789,-1.406,-2.166
2023-06-27 01:54:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 01:55:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 01:56:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 01:57:00,-2.349,-1.988,-1.606,-2.166
2023-06-27 01:58:00,-2.349,-1.988,-2.008,-2.166
2023-06-27 01:59:00,-2.451,-1.988,-2.008,-2.166
2023-06-27 02:00:00,-2.451,-1.988,-2.008,-2.166
2023-06-27 02:01:00,-2.349,-1.988,-2.008,-2.166
2023-06-27 02:02:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 02:03:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 02:04:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 02:05:00,-2.349,-1.988,-1.406,-2.166
2023-06-27 02:06:00,-2.349,-1.988,-1.606,-2.166
2023-06-27 02:07:00,-2.349,-1.988,-2.008,-2.166
2023-06-27 02:08:00,-2.349,-1.789,-2.008,-2.166
2023-06-27 02:09:00,-2.349,-1.392,-2.008,-2.166
2023-06-27 02:10:00,-2.349,-1.392,-1.807,-2.166
2023-06-27 02:11:00,-2.349,-1.392,-1.406,-2.166
2023-06-27 02:12:00,-2.349,-1.789,-1.406,-2.166
2023-06-27 02:13:00,-2.349,-1.590,-1.406,-2.166
2023-06-27 02:14:00,-2.349,-1.392,-1.406,-2.166
2023-06-27 02:15:00,-2.349,-1.392,-1.807,-2.166
2023-06-27 02:16:00,-2.349,-1.988,-2.008,-1.911
2023-06-27 02:17:00,-2.349,-1.590,-2.008,-1.783
2023-06-27 02:18:00,-2.349,-1.590,-2.008,-1.656
2023-06-27 02:19:00,-2.349,-1.392,-2.610,-1.656
2023-06-27 02:20:00,-2.349,-1.392,-2.610,-1.656
2023-06-27 02:21:00,-2.349,-1.392,-2.209,-1.656
2023-06-27 02:22:00,-2.043,-1.392,-2.008,-1.656
2023-06-27 02:23:00,-2.043,-1.392,-1.406,-1.656
2023-06-27 02:24:00,-2.247,-1.392,-1.406,-1.656
2023-06-27 02:25:00,-2.349,-1.392,-1.406,-1.656
2023-06-27 02:26:00,-2.349,-1.392,-1.406,-1.656
2023-06-27 02:27:00,-2.349,-1.590,-1.406,-1.656
2023-06-27 02:28:00,-2.349,-1.988,-1.406,-1.656
2023-06-27 02:29:00,-2.349,-1.988,-1.406,-1.656
2023-06-27 02:30:00,-2.349,-1.988,-1.406,-1.911
2023-06-27 02:31:00,-2.349,-1.988,-1.406,-2.038
2023-06-27 02:32:00,-2.451,-1.988,-1.406,-2.166
2023-06-27 02:33:00,-2.554,-1.988,-1.406,-2.166
2023-06-27 02:34:00,-2.758,-2.187,-1.406,-2.166
2023-06-27 02:35:00,-2.860,-2.584,-1.606,-2.166
2023-06-27 02:36:00,-3.064,-2.584,-2.008,-2.166
2023-06-27 02:37:00,-3.064,-2.584,-2.008,-2.166
2023-06-27 02:38:00,-3.064,-2.584,-2.008,-2.166
2023-06-27 02:39:00,-3.064,-2.584,-2.008,-2.166
2023-06-27 02:40:00,-2.962,-2.584,-2.008,-2.166
2023-06-27 02:41:00,-2.962,-2.584,-2.008,-2.166
2023-06-27 02:42:00,-2.758,-2.584,-1.606,-2.166
2023-06-27 02:43:00,-2.962,-2.386,-2.008,-2.166
2023-06-27 02:44:00,-2.962,-2.584,-2.008,-2.166
2023-06-27 02:45:00,-2.962,-2.584,-1.807,-2.166
2023-06-27 02:46:00,-3.064,-2.584,-1.406,-2.166
2023-06-27 02:47:00,-2.962,-2.584,-1.406,-2.166
2023-06-27 02:48:00,-2.758,-2.584,-1.406,-2.166
2023-06-27 02:49:00,-2.554,-2.386,-1.406,-2.038
2023-06-27 02:50:00,-2.349,-1.988,-1.406,-1.911
2023-06-27 02:51:00,-2.349,-1.988,-1.406,-1.783
2023-06-27 02:52:00,-2.349,-1.988,-1.606,-1.656
2023-06-27 02:53:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 02:54:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 02:55:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 02:56:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 02:57:00,-2.349,-1.988,-2.209,-1.656
2023-06-27 02:58:00,-2.349,-1.988,-2.610,-1.656
2023-06-27 02:59:00,-2.349,-1.988,-2.610,-1.656
2023-06-27 03:00:00,-2.349,-1.988,-2.008,-1.656
2023-06-27 03:01:00,-2.349,-1.988,-2.008,-1.656
