TIMESTAMP,Global BsAs [W/m2],Difusa BsAs [W/m2],Global Ush [W/m2],Difusa Ush [W/m2]
2023-06-24 00:00:00,-2.043,-1.392,-2.209,-1.656
2023-06-24 00:01:00,-2.043,-1.392,-2.008,-1.656
2023-06-24 00:02:00,-2.043,-1.392,-2.008,-1.656
2023-06-24 00:03:00,-2.043,-1.392,-2.209,-1.656
2023-06-24 00:04:00,-2.043,-1.392,-2.610,-1.656
2023-06-24 00:05:00,-2.043,-1.392,-2.610,-1.656
2023-06-24 00:06:00,-2.043,-1.392,-2.610,-1.656
2023-06-24 00:07:00,-2.043,-1.392,-2.610,-1.656
2023-06-24 00:08:00,-1.634,-1.392,-2.610,-1.656
2023-06-24 00:09:00,-1.328,-1.392,-2.610,-1.656
2023-06-24 00:10:00,-1.328,-1.392,-2.610,-1.656
2023-06-24 00:11:00,-1.328,-0.795,-2.610,-1.656
2023-06-24 00:12:00,-1.328,-0.596,-2.610,-1.656
2023-06-24 00:13:00,-1.226,-0.596,-2.410,-1.656
2023-06-24 00:14:00,-0.715,-0.596,-2.610,-1.656
2023-06-24 00:15:00,-0.715,0.000,-2.610,-1.656
2023-06-24 00:16:00,-0.715,0.000,-2.610,-1.656
2023-06-24 00:17:00,-0.715,0.000,-2.610,-1.656
2023-06-24 00:18:00,-0.613,0.000,-2.610,-1.656
2023-06-24 00:19:00,-0.204,0.000,-2.610,-1.656
2023-06-24 00:20:00,0.000,0.000,-2.410,-1.656
2023-06-24 00:21:00,0.000,0.000,-2.209,-1.656
2023-06-24 00:22:00,0.000,0.000,-2.008,-1.656
2023-06-24 00:23:00,0.000,0.000,-2.008,-1.656
2023-06-24 00:24:00,0.000,0.000,-2.209,-1.656
2023-06-24 00:25:00,0.000,0.000,-2.008,-1.656
2023-06-24 00:26:00,-0.511,0.000,-2.008,-1.656
2023-06-24 00:27:00,-0.715,0.000,-2.008,-1.656
2023-06-24 00:28:00,-0.715,0.000,-1.807,-1.656
2023-06-24 00:29:00,-0.715,-0.398,-1.807,-1.656
2023-06-24 00:30:00,-0.715,-0.596,-2.008,-1.656
2023-06-24 00:31:00,-0.715,-0.596,-2.008,-1.656
2023-06-24 00:32:00,-0.715,-0.596,-2.008,-1.656
2023-06-24 00:33:00,-0.715,-0.596,-2.008,-1.656
2023-06-24 00:34:00,-0.715,-0.596,-2.410,-1.656
2023-06-24 00:35:00,-1.226,-0.596,-2.610,-1.656
2023-06-24 00:36:00,-1.328,-0.994,-2.610,-1.656
2023-06-24 00:37:00,-1.328,-1.392,-2.610,-1.656
2023-06-24 00:38:00,-1.328,-1.392,-2.610,-1.656
2023-06-24 00:39:00,-1.839,-1.392,-2.610,-1.656
2023-06-24 00:40:00,-2.043,-1.392,-2.610,-1.656
2023-06-24 00:41:00,-2.043,-1.392,-2.610,-1.656
2023-06-24 00:42:00,-2.043,-1.590,-2.610,-1.656
