FECHA,COVID_LLAMADOS,CASOS_SOSPECHOSOS,CASOS_DESCARTADOS_COVID,CASOS_TRASLADADOS,CASOS_DERIVADOS
05NOV2021:00:00:00,143,3,140,0,1
06NOV2021:00:00:00,82,4,78,0,1
07NOV2021:00:00:00,95,1,94,0,0
08NOV2021:00:00:00,158,3,155,0,1
09NOV2021:00:00:00,171,8,163,0,3
10NOV2021:00:00:00,174,8,166,0,3
11NOV2021:00:00:00,99,0,99,0,0
12NOV2021:00:00:00,73,10,63,0,2
13NOV2021:00:00:00,99,0,99,0,0
14NOV2021:00:00:00,36,0,36,0,0
15NOV2021:00:00:00,155,9,146,0,1
16NOV2021:00:00:00,137,6,131,0,2
17NOV2021:00:00:00,139,6,133,0,1
18NOV2021:00:00:00,101,2,99,0,1
19NOV2021:00:00:00,89,6,83,0,2
20NOV2021:00:00:00,49,2,47,0,0
21NOV2021:00:00:00,56,4,52,0,3
22NOV2021:00:00:00,81,2,79,0,0
23NOV2021:00:00:00,202,3,199,0,1
24NOV2021:00:00:00,123,3,120,0,0
25NOV2021:00:00:00,129,3,126,0,0
26NOV2021:00:00:00,193,2,191,0,0
27NOV2021:00:00:00,31,2,29,0,0
28NOV2021:00:00:00,7,0,7,0,1
29NOV2021:00:00:00,139,5,134,0,0
30NOV2021:00:00:00,98,2,96,0,0
01DEC2021:00:00:00,56,2,54,0,0
02DEC2021:00:00:00,65,4,61,0,0
03DEC2021:00:00:00,62,5,57,0,0
04DEC2021:00:00:00,54,12,42,0,2
05DEC2021:00:00:00,41,3,38,0,1
06DEC2021:00:00:00,93,5,88,0,0
07DEC2021:00:00:00,61,1,60,0,0
08DEC2021:00:00:00,68,1,67,0,0
09DEC2021:00:00:00,58,2,56,0,0
10DEC2021:00:00:00,91,9,82,0,1
11DEC2021:00:00:00,39,1,38,0,0
12DEC2021:00:00:00,54,5,49,0,1
13DEC2021:00:00:00,22,3,19,0,0
