FECHA,COVID_LLAMADOS,CASOS_SOSPECHOSOS,CASOS_DESCARTADOS_COVID,CASOS_TRASLADADOS,CASOS_DERIVADOS
17APR2021:00:00:00,551,31,520,0,5
18APR2021:00:00:00,518,31,487,0,5
19APR2021:00:00:00,1239,32,1207,0,8
20APR2021:00:00:00,1080,35,1045,0,5
21APR2021:00:00:00,1021,14,1007,0,7
22APR2021:00:00:00,1022,0,1022,0,4
23APR2021:00:00:00,959,1,958,0,2
24APR2021:00:00:00,596,1,595,0,0
25APR2021:00:00:00,375,5,370,0,0
26APR2021:00:00:00,857,16,841,0,3
28APR2021:00:00:00,821,45,776,0,14
29APR2021:00:00:00,813,29,784,0,10
30APR2021:00:00:00,756,30,726,0,7
01MAY2021:00:00:00,426,24,402,0,2
02MAY2021:00:00:00,467,18,449,0,3
03MAY2021:00:00:00,980,30,950,0,10
04MAY2021:00:00:00,830,30,800,0,10
05MAY2021:00:00:00,732,28,704,0,4
06MAY2021:00:00:00,656,17,639,0,5
07MAY2021:00:00:00,726,27,699,0,8
08MAY2021:00:00:00,445,36,409,0,5
09MAY2021:00:00:00,407,45,362,0,9
10MAY2021:00:00:00,770,43,727,0,12
11MAY2021:00:00:00,626,27,599,0,8
12MAY2021:00:00:00,729,22,707,0,6
13MAY2021:00:00:00,628,40,588,0,7
14MAY2021:00:00:00,698,32,666,0,13
15MAY2021:00:00:00,429,34,395,0,9
16MAY2021:00:00:00,333,32,301,0,6
17MAY2021:00:00:00,704,28,676,0,8
18MAY2021:00:00:00,723,34,689,0,12
19MAY2021:00:00:00,664,27,637,0,5
20MAY2021:00:00:00,657,32,625,0,4
21MAY2021:00:00:00,664,32,632,0,6
22MAY2021:00:00:00,526,28,498,0,4
23MAY2021:00:00:00,471,20,451,0,2
24MAY2021:00:00:00,485,25,460,0,6
25MAY2021:00:00:00,433,17,416,0,3
26MAY2021:00:00:00,774,38,736,0,12
27MAY2021:00:00:00,688,38,650,0,7
28MAY2021:00:00:00,642,47,595,0,10
29MAY2021:00:00:00,361,19,342,0,4
30MAY2021:00:00:00,360,33,327,0,6
31MAY2021:00:00:00,378,12,366,0,1
02JUN2021:00:00:00,646,26,620,0,4
17MAR2020:00:00:00,4426,1461,2965,1461,67
18MAR2020:00:00:00,2239,166,2073,4,3
19MAR2020:00:00:00,2347,204,2143,15,22
20MAR2020:00:00:00,2404,167,2237,24,27
21MAR2020:00:00:00,1303,163,1140,22,26
22MAR2020:00:00:00,1429,135,1294,25,24
23MAR2020:00:00:00,1489,159,1330,26,31
24MAR2020:00:00:00,1366,179,1187,27,35
25MAR2020:00:00:00,1738,191,1547,17,25
26MAR2020:00:00:00,1682,194,1488,26,35
27MAR2020:00:00:00,1680,227,1453,24,48
28MAR2020:00:00:00,1207,180,1027,17,17
29MAR2020:00:00:00,875,153,722,16,14
30MAR2020:00:00:00,1127,198,929,28,26
31MAR2020:00:00:00,848,296,552,39,26
01APR2020:00:00:00,1011,263,748,67,26
02APR2020:00:00:00,877,119,758,10,18
03APR2020:00:00:00,691,109,582,1,22
04APR2020:00:00:00,729,272,457,18,25
05APR2020:00:00:00,582,200,382,7,5
06APR2020:00:00:00,733,124,609,9,14
07APR2020:00:00:00,647,123,524,4,8
08APR2020:00:00:00,611,123,488,6,12
09APR2020:00:00:00,573,103,470,9,8
10APR2020:00:00:00,517,183,334,5,12
11APR2020:00:00:00,428,143,285,2,7
12APR2020:00:00:00,424,157,267,0,7
13APR2020:00:00:00,499,124,375,6,10
14APR2020:00:00:00,393,84,309,2,4
15APR2020:00:00:00,360,95,265,4,11
16APR2020:00:00:00,450,152,298,3,6
17APR2020:00:00:00,521,185,336,4,17
18APR2020:00:00:00,430,236,194,1,11
19APR2020:00:00:00,318,181,137,8,16
20APR2020:00:00:00,388,24,364,0,11
21APR2020:00:00:00,418,128,290,0,12
22APR2020:00:00:00,380,57,323,6,22
23APR2020:00:00:00,339,52,287,4,16
24APR2020:00:00:00,450,178,272,1,12
25APR2020:00:00:00,199,37,162,1,16
26APR2020:00:00:00,163,24,139,3,11
27APR2020:00:00:00,333,76,257,2,20
28APR2020:00:00:00,238,37,201,0,5
29APR2020:00:00:00,331,113,218,0,12
30APR2020:00:00:00,356,163,193,0,11
01MAY2020:00:00:00,145,28,117,0,9
02MAY2020:00:00:00,75,14,61,0,8
03MAY2020:00:00:00,91,12,79,0,5
04MAY2020:00:00:00,201,24,177,1,11
05MAY2020:00:00:00,325,168,157,1,10
06MAY2020:00:00:00,157,21,136,2,17
07MAY2020:00:00:00,207,48,159,0,18
