FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
29062023     0  10.1   67  1028.2  170    6     AEROPARQUE AERO                                     
29062023     1   9.9   68  1027.9  180    6     AEROPARQUE AERO                                     
29062023     2  10.1   68  1027.7  150    7     AEROPARQUE AERO                                     
29062023     3   8.9   74  1028.0  990    2     AEROPARQUE AERO                                     
29062023     4   9.1   74  1027.5  150    6     AEROPARQUE AERO                                     
29062023     5   8.9   74  1027.6  140    6     AEROPARQUE AERO                                     
29062023     6   9.5   73  1027.4  140    4     AEROPARQUE AERO                                     
29062023     7   8.8   77  1027.8  130    7     AEROPARQUE AERO                                     
29062023     8   9.4   75  1027.9  120    7     AEROPARQUE AERO                                     
29062023     9   9.3   78  1028.3  130   11     AEROPARQUE AERO                                     
29062023    10  10.2   78  1028.2  120   15     AEROPARQUE AERO                                     
29062023    11  11.0   80  1029.0  100   13     AEROPARQUE AERO                                     
29062023    12  12.2   80  1029.6   90   11     AEROPARQUE AERO                                     
29062023    13  12.9   74  1028.7   40    9     AEROPARQUE AERO                                     
29062023    14  12.7   68  1027.5   50   11     AEROPARQUE AERO                                     
29062023    15  12.8   66  1026.5   60   11     AEROPARQUE AERO                                     
29062023    16  12.6   68  1025.6   70   11     AEROPARQUE AERO                                     
29062023    17  12.4   73  1024.6   80   15     AEROPARQUE AERO                                     
29062023    18  12.3   78  1024.7   90   15     AEROPARQUE AERO                                     
29062023    19  12.1   81  1025.7  100   17     AEROPARQUE AERO                                     
29062023    20  11.8   84  1026.7  110   11     AEROPARQUE AERO                                     
29062023    21  12.6   77  1026.9   90    9     AEROPARQUE AERO                                     
29062023    22  13.3   66  1026.7   20    9     AEROPARQUE AERO                                     
29062023    23  13.0   68  1026.3  360   13     AEROPARQUE AERO                                     
29062023     0    .4   98  1029.0  180    6     AZUL AERO                                           
29062023     1   -.5   98  1028.8  180    4     AZUL AERO                                           
29062023     2   -.6  100  1028.7  180    2     AZUL AERO                                           
29062023     3   -.3   98  1028.5  230    2     AZUL AERO                                           
29062023     4    .4   96  1028.4  180    4     AZUL AERO                                           
29062023     5    .2   98  1027.9  140    4     AZUL AERO                                           
29062023     6    .3   96  1028.4  140    4     AZUL AERO                                           
29062023     7    .0  100  1028.8  180    4     AZUL AERO                                           
29062023     8   -.8   96  1029.0  180    4     AZUL AERO                                           
29062023     9   -.5  100  1029.2   90    4     AZUL AERO                                           
29062023    10   3.2   93  1029.4   50    2     AZUL AERO                                           
29062023    11   7.2   83  1029.5  360    9     AZUL AERO                                           
29062023    12   9.4   77  1029.2  360    9     AZUL AERO                                           
29062023    13   9.6   67  1028.1  360   19     AZUL AERO                                           
29062023    14  10.0   65  1026.9  360   19     AZUL AERO                                           
29062023    15  11.2   57  1025.5  360   19     AZUL AERO                                           
29062023    16  11.2   57  1025.4  360   17     AZUL AERO                                           
29062023    17  10.8   59  1025.9  360   13     AZUL AERO                                           
29062023    18  10.4   63  1026.1  360    9     AZUL AERO                                           
29062023    19   9.3   70  1026.4  360    7     AZUL AERO                                           
29062023    20   8.7   72  1026.2  360    9     AZUL AERO                                           
29062023    21   8.3   71  1025.9   20   13     AZUL AERO                                           
29062023    22   7.5   72  1025.9  360   11     AZUL AERO                                           
29062023    23   6.8   79  1026.1  360   11     AZUL AERO                                           
29062023     0   1.2   97  1028.4   20   13     BAHIA BLANCA AERO                                   
29062023     1   1.6   97  1028.0  360   11     BAHIA BLANCA AERO                                   
29062023     2   1.8   93  1027.8   20    7     BAHIA BLANCA AERO                                   
29062023     3   2.0   93  1027.9   20    9     BAHIA BLANCA AERO                                   
29062023     4   1.8   93  1026.9   60   13     BAHIA BLANCA AERO                                   
29062023     5   2.4   93  1026.7  360   11     BAHIA BLANCA AERO                                   
29062023     6   2.0   95  1026.6  360    7     BAHIA BLANCA AERO                                   
29062023     7   2.4   97  1026.3   70   11     BAHIA BLANCA AERO                                   
29062023     8   3.5   97  1025.8   70   11     BAHIA BLANCA AERO                                   
29062023     9   3.8   97  1026.2   20   13     BAHIA BLANCA AERO                                   
29062023    10   4.7   93  1026.4   50   11     BAHIA BLANCA AERO                                   
29062023    11   8.2   92  1025.9   20   19     BAHIA BLANCA AERO                                   
29062023    12  10.4   66  1025.0   20   13     BAHIA BLANCA AERO                                   
29062023    13  12.9   52  1023.9   20   20     BAHIA BLANCA AERO                                   
29062023    14  13.8   43  1022.4   20   24     BAHIA BLANCA AERO                                   
29062023    15  13.6   45  1021.8  360   20     BAHIA BLANCA AERO                                   
29062023    16  13.1   53  1021.8  320   22     BAHIA BLANCA AERO                                   
29062023    17  12.4   58  1021.7  320   33     BAHIA BLANCA AERO                                   
29062023    18  11.1   66  1021.7  340   20     BAHIA BLANCA AERO                                   
29062023    19  10.4   70  1021.6  340   22     BAHIA BLANCA AERO                                   
29062023    20   9.6   72  1021.5  340   22     BAHIA BLANCA AERO                                   
29062023    21   9.2   69  1021.8  330   28     BAHIA BLANCA AERO                                   
