FECHA     HORA  TEMP   HUM   PNM    DD    FF     NOMBRE                                             
         [HOA]  [ºC]   [%]  [hPa]  [gr] [km/hr]                                                     
03062023     0  19.5   89  1011.8  320    9     AEROPARQUE AERO                                     
03062023     1  19.6   83  1012.0  320    9     AEROPARQUE AERO                                     
03062023     2  20.0   81  1011.7  320   11     AEROPARQUE AERO                                     
03062023     3  20.0   82  1011.7  320    9     AEROPARQUE AERO                                     
03062023     4  18.3   82  1012.6  190   15     AEROPARQUE AERO                                     
03062023     5  16.8   80  1012.8  180    7     AEROPARQUE AERO                                     
03062023     6  16.4   79  1012.9  160    7     AEROPARQUE AERO                                     
03062023     7  15.8   81  1013.5  130    7     AEROPARQUE AERO                                     
03062023     8  15.9   78  1014.1  120   13     AEROPARQUE AERO                                     
03062023     9  16.7   88  1014.1  100    9     AEROPARQUE AERO                                     
03062023    10  17.3   90  1014.6   90    7     AEROPARQUE AERO                                     
03062023    11  17.7   90  1014.9  100    7     AEROPARQUE AERO                                     
03062023    12  18.4   87  1014.9  100    9     AEROPARQUE AERO                                     
03062023    13  19.7   82  1014.4   90    9     AEROPARQUE AERO                                     
03062023    14  18.2   90  1013.9   90   11     AEROPARQUE AERO                                     
03062023    15  17.6   93  1013.4   90   11     AEROPARQUE AERO                                     
03062023    16  17.2   95  1013.3   90   15     AEROPARQUE AERO                                     
03062023    17  16.7   96  1013.4  110   13     AEROPARQUE AERO                                     
03062023    18  16.6   96  1013.2  110   20     AEROPARQUE AERO                                     
03062023    19  15.9   98  1013.6  110   22     AEROPARQUE AERO                                     
03062023    20  16.1   98  1014.2  100   20     AEROPARQUE AERO                                     
03062023    21  16.0   99  1014.5  100   19     AEROPARQUE AERO                                     
03062023    22  16.1   99  1014.9  100   15     AEROPARQUE AERO                                     
03062023    23  16.3   96  1015.0  100   13     AEROPARQUE AERO                                     
03062023     0  13.0   71  1013.6  140   13     AZUL AERO                                           
03062023     1  12.4   77  1013.8  140   11     AZUL AERO                                           
03062023     2  11.9   74  1012.9   20   15     AZUL AERO                                           
03062023     3   9.6   88  1014.1   50    4     AZUL AERO                                           
03062023     4   7.9   93  1013.9    0    0     AZUL AERO                                           
03062023     5   7.2   94  1014.2  230    2     AZUL AERO                                           
03062023     6   5.8   97  1014.7  180    2     AZUL AERO                                           
03062023     7   5.6   94  1015.3  230    2     AZUL AERO                                           
03062023     8   5.8   97  1016.0  180    6     AZUL AERO                                           
03062023     9   6.6   88  1016.0  180    7     AZUL AERO                                           
03062023    10   8.4   89  1016.2  140    4     AZUL AERO                                           
03062023    11  11.0   88  1016.5  180    6     AZUL AERO                                           
03062023    12  14.6   66  1015.7   70    7     AZUL AERO                                           
03062023    13  16.8   56  1015.4  360    7     AZUL AERO                                           
03062023    14  16.4   61  1014.6  360    9     AZUL AERO                                           
03062023    15  16.4   62  1014.2  360    9     AZUL AERO                                           
03062023    16  16.8   67  1013.9  360    9     AZUL AERO                                           
03062023    17  16.2   70  1014.0   50    7     AZUL AERO                                           
03062023    18  13.6   84  1014.4   50    4     AZUL AERO                                           
03062023    19  11.8   92  1015.1   50    6     AZUL AERO                                           
03062023    20  10.2   96  1015.9  110    2     AZUL AERO                                           
03062023    21   9.3   97  1016.2  140    7     AZUL AERO                                           
03062023    22  11.8   91  1017.8  140    9     AZUL AERO                                           
03062023    23  10.6   95  1017.1  140    6     AZUL AERO                                           
03062023     0   8.5   81  1012.9  240   17     BAHIA BLANCA AERO                                   
03062023     1   6.9   87  1013.2  330    9     BAHIA BLANCA AERO                                   
03062023     2   6.5   90  1013.9  330   17     BAHIA BLANCA AERO                                   
03062023     3   5.9   88  1013.7  320   15     BAHIA BLANCA AERO                                   
03062023     4   4.9   91  1014.4  350   17     BAHIA BLANCA AERO                                   
03062023     5   4.3   92  1014.5  340   17     BAHIA BLANCA AERO                                   
03062023     6   5.1   91  1013.9  350   17     BAHIA BLANCA AERO                                   
03062023     7   4.7   92  1014.1  330   17     BAHIA BLANCA AERO                                   
03062023     8   4.3   92  1014.2  330   17     BAHIA BLANCA AERO                                   
03062023     9   4.3   90  1014.3  340   15     BAHIA BLANCA AERO                                   
03062023    10   8.3   82  1014.9  340   13     BAHIA BLANCA AERO                                   
03062023    11  13.4   68  1015.4  340   15     BAHIA BLANCA AERO                                   
03062023    12  14.3   62  1015.0  330   22     BAHIA BLANCA AERO                                   
03062023    13  16.9   51  1014.0  320   17     BAHIA BLANCA AERO                                   
03062023    14  15.9   55  1013.1  330   20     BAHIA BLANCA AERO                                   
03062023    15  17.5   51  1012.6  320   24     BAHIA BLANCA AERO                                   
03062023    16  16.7   57  1012.0  320   13     BAHIA BLANCA AERO                                   
03062023    17  16.4   59  1013.1  340   30     BAHIA BLANCA AERO                                   
03062023    18  14.3   63  1012.9  340   19     BAHIA BLANCA AERO                                   
03062023    19  13.3   72  1012.9  360   22     BAHIA BLANCA AERO                                   
03062023    20  12.3   78  1013.2  340   22     BAHIA BLANCA AERO                                   
03062023    21  12.4   75  1013.9  330   15     BAHIA BLANCA AERO                                   
03062023    22  14.9   64  1016.7  250   33     BAHIA BLANCA AERO                                   
03062023    23  14.2   62  1017.4  230   24     BAHIA BLANCA AERO                                   
03062023     0   5.8   79  1400.0  300   41     BARILOCHE AERO                                      
03062023     1   5.2   82  1391.0  290   30     BARILOCHE AERO                                      
03062023     2   5.7   81  1386.0  300   22     BARILOCHE AERO                                      
03062023     3   5.8   86  1386.0  290   20     BARILOCHE AERO                                      
03062023     4   5.6   87  1391.0  290   31     BARILOCHE AERO                                      
03062023     5   5.1   87  1385.0  300   17     BARILOCHE AERO                                      
03062023     6   5.1   88  1375.0  340    6     BARILOCHE AERO                                      
03062023     7   6.4   81  1372.0  340   22     BARILOCHE AERO                                      
03062023     8   6.9   76  1379.0  320   28     BARILOCHE AERO                                      
03062023     9   6.7   74  1379.0  310   35     BARILOCHE AERO                                      
03062023    10   6.3   81  1378.0  310   22     BARILOCHE AERO                                      
03062023    11   4.7   88  1391.0  300   30     BARILOCHE AERO                                      
03062023    12   5.3   85  1389.0  300   22     BARILOCHE AERO                                      
