time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
10.947050;8.8806;-1.0874;4.2926;9.923
10.961766;5.1615;-0.6895;4.2106;6.697
10.962853;1.6140;-0.2618;4.1400;4.451
10.963904;-1.6068;0.0444;3.8468;4.169
10.967283;-4.4861;0.2091;3.3837;5.623
10.972838;-6.8915;0.3317;2.8197;7.453
10.977187;-8.7450;0.4439;2.2685;9.045
10.982565;-9.9486;0.5629;1.6547;10.101
10.987533;-10.5612;0.6263;0.9358;10.621
10.992609;-10.7552;0.7033;0.1722;10.780
10.997093;-10.6619;0.7385;-0.5619;10.702
11.002390;-10.3327;0.7051;-1.3044;10.439
11.007837;-9.7496;0.6555;-1.9736;9.969
11.012862;-8.8174;0.4670;-2.4779;9.171
11.017229;-7.6992;0.2060;-2.8208;8.202
11.022498;-6.4933;0.0106;-3.0412;7.170
11.027095;-5.2524;-0.1105;-3.1374;6.119
11.032873;-4.0751;-0.1603;-3.1527;5.155
11.037183;-3.0144;-0.1635;-3.0654;4.302
11.042116;-2.0592;-0.1471;-2.8272;3.501
11.047243;-1.2131;-0.1330;-2.3628;2.659
11.052549;-0.5230;-0.1290;-1.9272;2.001
11.057913;-0.0145;-0.0898;-1.4569;1.460
11.062447;0.4105;0.0132;-0.9272;1.014
11.072639;0.7497;0.1678;-0.3869;0.860
11.077169;1.0865;0.3069;0.1076;1.134
11.078752;1.3898;0.3993;0.5555;1.549
11.092264;1.6427;0.4808;0.9552;1.960
11.093332;1.8400;0.4820;1.2505;2.276
11.093876;2.0315;0.4294;1.4494;2.532
11.097589;2.5262;0.0119;1.4470;2.911
11.102412;2.5533;0.2085;1.0441;2.766
11.107940;2.5169;0.4422;0.8704;2.700
11.112829;2.5599;0.5217;0.7082;2.707
11.117616;2.6171;0.4140;0.4158;2.682
11.122567;2.7004;0.1699;0.0635;2.706
11.128030;2.9387;-0.0523;-0.0344;2.939
11.132377;3.3397;-0.1524;0.0380;3.343
11.137405;3.7149;-0.2025;0.0699;3.721
11.142795;3.9169;-0.2486;-0.0200;3.925
11.147666;3.8945;-0.2813;-0.1726;3.908
11.152551;3.6804;-0.3347;-0.3835;3.715
11.158164;3.3571;-0.4042;-0.5842;3.431
11.163183;2.9257;-0.5139;-0.7130;3.055
11.169414;2.4058;-0.6541;-0.7560;2.605
11.178985;1.8165;-0.7890;-0.7350;2.112
11.179731;1.2409;-0.9899;-0.6306;1.708
11.191673;0.6228;-1.1223;-0.5716;1.405
11.193109;0.0928;-1.2266;-0.4857;1.323
11.193937;-0.4225;-1.2736;-0.3915;1.398
11.198025;-0.8936;-1.3060;-0.3098;1.613
11.203397;-1.3101;-1.2755;-0.2901;1.851
11.207939;-1.6496;-1.1651;-0.3109;2.043
11.213430;-1.8823;-0.9743;-0.3243;2.144
11.218306;-1.9686;-0.7628;-0.2971;2.132
11.223511;-1.9453;-0.5425;-0.2774;2.039
11.228695;-1.8201;-0.2797;-0.2728;1.862
11.234024;-1.6000;-0.0775;-0.2401;1.620
11.238151;-1.3423;0.0927;-0.1843;1.358
11.243886;-1.1113;0.2190;-0.1026;1.137
11.248176;-0.8227;0.2053;0.0432;0.849
11.253957;-0.4615;-0.0034;0.2802;0.540
11.259230;-0.1629;-0.2471;0.4673;0.553
11.263450;0.0407;-0.4734;0.5809;0.750
11.270423;0.1407;-0.6085;0.6951;0.934
11.282547;0.1643;-0.6217;0.7698;1.003
11.283189;0.1679;-0.5208;0.6930;0.883
11.283640;0.1547;-0.3732;0.5724;0.701
11.287939;0.1112;-0.2533;0.4820;0.556
11.296601;0.0209;-0.2113;0.4264;0.476
11.298213;-0.0467;-0.2591;0.3430;0.432
11.303323;-0.0776;-0.3558;0.3035;0.474
11.309264;-0.0438;-0.4532;0.2434;0.516
11.313626;-0.0293;-0.5463;0.0137;0.547
11.318211;-0.0012;-0.6206;-0.0916;0.627
11.322906;0.0234;-0.6113;-0.1587;0.632
11.328834;0.0441;-0.5663;-0.2711;0.629
11.333449;0.0771;-0.5334;-0.4194;0.683
11.338126;0.0767;-0.5219;-0.5272;0.746
11.344506;0.0329;-0.5245;-0.6142;0.808
11.350212;-0.0594;-0.5027;-0.6014;0.786
11.353716;-0.2391;-0.4611;-0.5511;0.757
11.359455;-0.4685;-0.4189;-0.5038;0.805
11.363511;-0.6667;-0.3999;-0.4711;0.909
11.369347;-0.8269;-0.3776;-0.4385;1.009
11.373443;-0.9731;-0.3929;-0.4295;1.134
11.379548;-1.0550;-0.4265;-0.4393;1.220
11.387312;-1.0651;-0.4117;-0.4610;1.231
11.388758;-1.0052;-0.3580;-0.4756;1.168
11.393837;-0.9175;-0.2586;-0.4428;1.051
11.410800;-0.8181;-0.1496;-0.3771;0.913
11.412175;-0.7018;-0.0766;-0.2808;0.760
11.412993;-0.5656;-0.0780;-0.1873;0.601
11.413627;-0.4406;-0.1323;-0.0966;0.470
11.418382;-0.3551;-0.1795;0.0009;0.398
11.423292;-0.2878;-0.2388;0.0813;0.383
11.429491;-0.1936;-0.2576;0.1760;0.367
11.433492;-0.0797;-0.2310;0.2325;0.337
11.438859;-0.0063;-0.1855;0.2559;0.316
11.444252;0.0578;-0.1187;0.2273;0.263
11.449320;0.1292;-0.0784;0.2013;0.252
11.454164;0.2005;0.0025;0.2163;0.295
11.459519;0.2476;0.0474;0.2339;0.344
11.464072;0.2750;0.0756;0.2735;0.395
11.469972;0.2971;0.0655;0.2776;0.412
11.474350;0.3042;0.0459;0.2296;0.384
11.479212;0.3014;0.0264;0.1535;0.339
11.488934;0.2578;0.0164;0.0775;0.270
11.490239;0.2432;0.0471;0.0112;0.248
11.494784;0.2316;0.0849;-0.0864;0.261
11.512115;0.1634;0.1393;-0.1366;0.254
11.513549;0.0890;0.1601;-0.1133;0.215
11.514474;0.0059;0.1498;-0.0667;0.164
11.515175;-0.0907;0.1371;-0.0303;0.167
11.519370;-0.1792;0.0957;-0.0019;0.203
11.524932;-0.2480;0.0735;0.0502;0.264
11.529800;-0.2949;0.0586;0.0996;0.317
11.534245;-0.3370;0.0006;0.1681;0.377
11.539215;-0.3838;-0.0909;0.1939;0.440
11.544351;-0.3662;-0.1942;0.1268;0.433
11.550327;-0.3895;-0.2878;0.0003;0.484
11.554604;-0.3648;-0.3693;-0.1166;0.532
11.559510;-0.2629;-0.4364;-0.2406;0.563
11.564565;-0.1168;-0.4702;-0.3646;0.606
11.569048;0.0045;-0.4946;-0.4865;0.694
11.574623;0.1060;-0.5000;-0.6016;0.789
11.579264;0.2524;-0.5437;-0.7153;0.933
11.584182;0.3912;-0.6090;-0.7752;1.061
11.589615;0.4219;-0.6815;-0.8003;1.133
11.595411;0.3901;-0.7395;-0.8242;1.174
11.603157;0.3386;-0.7711;-0.8278;1.181
11.615224;0.2289;-0.8001;-0.8447;1.186
11.616337;0.1016;-0.8168;-0.8796;1.205
11.617054;-0.1418;-0.8069;-0.9160;1.229
11.629469;-0.3436;-0.8084;-0.9084;1.264
11.630941;-0.5399;-0.8406;-0.9260;1.362
11.631776;-0.7501;-0.8436;-0.9832;1.497
11.636436;-0.9888;-0.8244;-1.0417;1.656
11.639885;-1.2014;-0.8020;-1.0945;1.812
11.644643;-1.3308;-0.7646;-1.1825;1.938
11.649290;-1.3818;-0.7454;-1.2386;2.000
11.655359;-1.3713;-0.7301;-1.2871;2.017
11.660327;-1.3134;-0.7211;-1.3518;2.018
11.667391;-1.1934;-0.7328;-1.4016;1.981
11.670767;-0.9752;-0.8012;-1.4675;1.936
11.675055;-0.7084;-0.8686;-1.5283;1.895
11.680563;-0.4837;-0.8658;-1.5122;1.808
11.684861;-0.3757;-0.7279;-1.4342;1.652
11.690685;-0.1886;-0.6750;-1.3807;1.548
11.695739;-0.1116;-0.5898;-1.2990;1.431
11.702944;-0.1427;-0.4745;-1.0884;1.196
11.705043;-0.1508;-0.4442;-0.8946;1.010
11.710669;-0.1624;-0.3888;-0.7289;0.842
11.729303;-0.1250;-0.3610;-0.5815;0.696
11.730915;-0.0627;-0.3299;-0.4159;0.535
11.731777;0.0726;-0.3363;-0.3510;0.492
11.732598;0.2174;-0.3902;-0.5826;0.734
11.735645;0.4473;-0.5153;-0.6752;0.960
11.739840;0.6989;-0.6303;-0.7678;1.215
11.745277;0.9495;-0.7523;-0.8507;1.480
11.749787;1.1352;-0.8356;-0.9573;1.704
11.755141;1.9045;-0.9093;-0.4105;2.150
11.760135;2.6775;-0.8742;0.7366;2.911
11.770078;2.3316;-0.9072;0.2628;2.516
11.771725;2.1913;-0.8850;-0.0849;2.365
11.774928;2.1362;-0.7044;0.0058;2.249
11.780224;1.9384;-0.4967;0.1537;2.007
11.784675;1.5197;-0.3165;0.5113;1.634
11.790642;0.7673;-0.0896;1.1216;1.362
11.795707;-0.2378;0.2109;1.0098;1.059
11.799986;-1.0750;0.4533;1.3708;1.800
11.805149;-1.7132;0.5285;1.9862;2.676
11.809966;-2.1925;0.5054;2.4479;3.325
11.818260;-2.6605;0.5630;2.7541;3.870
11.820540;-3.1890;0.7157;2.6790;4.226
11.825951;-3.1115;0.6281;2.4342;4.000
11.830361;-2.7960;0.4716;2.3515;3.684
11.843176;-2.5449;0.4926;2.1610;3.375
11.844714;-2.1359;0.3581;1.8797;2.868
11.846167;-1.6819;0.1568;1.6605;2.369
11.852631;-1.1985;-0.0387;1.2487;1.731
11.855422;-0.6528;-0.2562;0.6306;0.943
11.859935;0.0738;-0.7002;0.0608;0.707
11.866150;0.3804;-0.7144;-0.9355;1.237
11.870414;0.7565;-0.5902;-1.1627;1.508
11.875227;1.2747;-0.6582;-1.2462;1.900
11.880389;1.9491;-1.1474;-0.7938;2.397
11.885085;1.9419;-1.2010;-0.7749;2.411
11.889920;1.5052;-0.9942;-0.9827;2.054
11.895486;0.8164;-1.0585;-0.7115;1.514
11.900085;-1.1607;-2.2414;0.5152;2.576
11.905186;-1.4734;-1.7865;0.6924;2.417
11.910810;-1.5924;-1.1483;0.8309;2.132
11.916113;-1.3998;-0.6522;0.6771;1.686
11.920141;-1.2012;-0.1909;0.2874;1.250
11.925520;-1.1747;0.2426;0.0387;1.200
11.930187;-1.2641;0.6148;0.0479;1.406
11.935739;-1.3453;0.8809;0.1345;1.614
11.940634;-1.2948;1.0152;0.1491;1.652
11.946618;-1.1317;1.0064;0.1222;1.519
11.961979;-1.0979;1.1251;0.1732;1.582
11.966531;-1.2680;1.3957;0.4473;1.938
11.968512;-1.3933;1.6911;0.7600;2.319
11.972340;-1.5287;2.0800;1.0499;2.787
11.975983;-1.3923;2.0325;1.1874;2.735
11.978151;-0.8705;1.2947;1.2917;2.025
11.981513;-0.4162;0.4890;1.6194;1.742
11.992879;-0.0649;-0.2839;1.8472;1.870
11.994466;0.0209;-0.8013;1.7954;1.966
11.995996;-0.1491;-1.0131;1.5859;1.888
12.000663;-0.4456;-0.9720;1.3335;1.709
12.006742;-0.6677;-0.8579;1.1674;1.595
12.011238;-0.5520;-0.7760;1.1976;1.530
12.016023;-0.0778;-0.8459;1.2612;1.521
12.020635;-0.1239;-0.4038;1.0201;1.104
12.025676;-0.2725;0.0713;0.6200;0.681
12.030370;-0.2799;0.4313;0.3480;0.621
12.035690;-0.0587;0.5162;0.3735;0.640
12.040945;0.0728;0.6975;0.5184;0.872
12.046445;0.0849;0.9731;0.5685;1.130
12.052801;0.0211;1.3333;0.4468;1.406
12.065186;0.0842;1.5212;0.6786;1.668
12.066157;0.2967;1.5596;1.2166;2.000
12.066581;0.5434;1.6389;1.4349;2.245
12.071291;0.7079;1.6053;2.1096;2.744
12.075681;0.9320;1.7096;2.4936;3.164
12.080653;1.1260;1.9180;2.6303;3.445
12.086290;1.3522;2.1585;2.3598;3.472
12.090704;1.5287;2.1901;1.7586;3.198
12.096414;1.2950;1.9668;0.7638;2.476
12.100785;0.7302;1.4932;-0.1229;1.667
12.105751;0.3441;1.0316;-0.5153;1.203
12.111657;0.1479;0.6637;-0.5245;0.859
12.115938;0.0548;0.4418;-0.5145;0.680
12.121742;-0.0098;0.2888;-0.3988;0.492
12.127277;-0.0317;0.0872;-0.4882;0.497
12.133557;-0.0157;0.0357;-0.4452;0.447
12.136841;0.0091;-0.0146;-0.3679;0.368
12.142364;0.0980;-0.1783;-0.3374;0.394
12.147955;0.1843;-0.3979;-0.5573;0.709
12.153384;0.2278;-0.4981;-0.4988;0.741
12.156351;0.2373;-0.4433;-0.4997;0.709
12.162071;0.2393;-0.3748;-0.4067;0.603
12.170099;0.1924;-0.3239;-0.2438;0.449
12.182097;0.1082;-0.2547;-0.0086;0.277
12.182699;0.0533;-0.2085;0.2396;0.322
12.183158;0.0132;-0.2406;0.4750;0.533
12.195352;-0.0001;-0.3468;0.6718;0.756
12.196402;0.0088;-0.4174;0.7784;0.883
12.196710;0.0545;-0.4745;0.8166;0.946
12.201033;0.1538;-0.5182;0.9805;1.120
12.206144;0.2271;-0.3930;1.1337;1.221
12.211740;0.2480;-0.2886;1.2910;1.346
12.216799;0.2883;-0.2341;1.3881;1.437
12.221293;0.1541;-0.1581;1.5379;1.554
12.226446;-0.0523;-0.0892;1.6830;1.686
12.231220;-0.1920;-0.1018;1.7277;1.741
12.237286;-0.2538;-0.0449;1.6481;1.668
12.241846;-0.4617;0.1891;1.3250;1.416
12.247033;-0.5854;0.4038;1.1054;1.314
12.252835;-0.6808;0.5062;0.9627;1.283
12.271924;-0.8131;0.5565;0.7434;1.234
12.272729;-0.8531;0.4762;0.5623;1.127
12.273169;-0.9759;0.3951;0.3663;1.115
12.273526;-1.1070;0.3660;0.1696;1.178
12.276546;-1.0424;0.3175;-0.0209;1.090
12.283083;-0.9161;0.2667;-0.2005;0.975
12.286718;-0.7394;0.2355;-0.3362;0.846
12.291899;-0.5502;0.1664;-0.3490;0.672
12.296817;-0.3456;0.0261;-0.3753;0.511
12.301832;-0.0942;-0.1973;-0.4607;0.510
12.306997;0.1254;-0.3549;-0.6678;0.767
12.312913;0.3453;-0.4535;-0.9205;1.083
12.318790;0.5812;-0.4273;-1.3084;1.494
12.325106;0.8441;-0.3547;-1.6676;1.902
12.326913;1.1258;-0.2489;-2.0880;2.385
12.333525;1.3694;-0.1737;-2.1616;2.565
12.336897;1.4997;-0.1813;-2.0756;2.567
12.342055;1.4248;-0.1357;-1.9039;2.382
12.346624;1.1942;-0.1158;-1.7420;2.115
12.351830;0.8648;-0.0356;-1.5658;1.789
12.357431;0.5290;0.0833;-1.3438;1.447
12.363023;0.2618;0.2191;-1.0445;1.099
12.370181;0.1172;0.3569;-0.7121;0.805
12.381537;0.0326;0.4570;-0.3815;0.596
12.382591;0.0503;0.5157;-0.0512;0.521
12.383133;0.2443;0.4690;0.3060;0.611
12.387485;0.5376;0.3848;0.6407;0.921
12.391948;0.8634;0.2735;0.9369;1.303
12.397183;1.1470;0.1908;1.2692;1.721
12.401949;1.2988;0.1212;1.5019;1.989
12.407313;1.3391;0.0754;1.6951;2.162
12.412190;1.2251;0.0812;1.8567;2.226
12.418260;0.9708;0.1785;1.9750;2.208
12.422041;0.6181;0.2432;2.0095;2.116
12.427541;0.3562;0.1897;2.0799;2.119
12.432873;0.1927;0.0257;2.1339;2.143
12.437881;0.0685;-0.1215;2.1117;2.116
12.442287;-0.0176;-0.2324;2.0853;2.098
12.448964;-0.0790;-0.3233;2.0882;2.115
12.452042;-0.1983;-0.3480;1.9550;1.996
12.457145;-0.3237;-0.3129;1.6758;1.735
12.462935;-0.4647;-0.2552;1.1976;1.310
12.467857;-0.5467;-0.1954;0.7443;0.944
12.472510;-0.5911;-0.1323;0.2862;0.670
12.478227;-0.5330;-0.1816;-0.0847;0.569
12.488111;-0.3773;-0.2370;-0.3336;0.557
12.489909;-0.2556;-0.2546;-0.5498;0.658
12.492607;-0.2109;-0.2557;-0.7457;0.816
12.498556;-0.1977;-0.2613;-0.9194;0.976
12.509907;-0.1534;-0.2259;-1.0593;1.094
12.511413;-0.0755;-0.2329;-1.1993;1.224
12.513285;-0.0186;-0.2534;-1.3899;1.413
12.517210;0.0078;-0.2343;-1.5359;1.554
12.522333;0.0827;-0.2089;-1.6425;1.658
12.528692;0.1633;-0.1986;-1.6598;1.680
12.533742;0.1995;-0.1890;-1.6333;1.656
12.538099;0.2109;-0.2018;-1.5439;1.571
12.542772;0.1448;-0.1129;-1.4727;1.484
12.548098;0.0109;0.0055;-1.4864;1.486
12.553054;-0.1446;0.1340;-1.5082;1.521
12.558509;-0.2757;0.2553;-1.4540;1.502
12.563107;-0.2960;0.1549;-1.0108;1.065
12.567812;-0.3481;0.2158;-0.5673;0.700
12.573171;-0.4514;0.2943;-0.8115;0.974
12.578489;-0.4730;0.3182;-0.8366;1.012
12.586853;-0.4117;0.3124;-0.4550;0.689
12.588383;-0.4252;0.2255;0.0759;0.487
12.593155;-0.5622;0.1388;0.3571;0.680
12.598344;-0.6732;0.0022;0.4586;0.815
12.604662;-0.7265;-0.4618;0.9473;1.280
12.607840;-0.2033;-0.8579;2.8591;2.992
12.613256;-0.0110;-0.8625;2.7681;2.899
12.617503;0.0575;-0.8641;2.6363;2.775
12.622775;0.2283;-0.7239;2.9070;3.004
12.628027;0.4571;-0.5163;3.2451;3.318
12.633675;0.6111;-0.3256;3.3044;3.376
12.638931;0.4838;-0.0703;2.7833;2.826
12.643565;0.2334;0.1213;2.1076;2.124
12.647685;0.0111;0.1759;1.4365;1.447
12.653192;-0.1159;0.0947;0.7734;0.788
12.658301;-0.0943;-0.0735;0.1172;0.167
12.663523;0.0765;-0.2945;-0.6097;0.681
12.668413;0.3461;-0.4477;-1.1408;1.273
12.673874;0.5743;-0.5450;-1.5030;1.699
12.679047;0.7322;-0.6243;-1.7329;1.982
12.687470;0.8243;-0.6808;-1.8092;2.101
12.688946;0.7776;-0.6616;-1.7633;2.038
12.692973;0.7015;-0.5784;-1.7295;1.954
12.698338;0.6118;-0.4955;-1.6457;1.824
12.710320;0.5269;-0.3938;-1.5503;1.684
12.711761;0.4221;-0.2990;-1.4436;1.533
12.713215;0.3470;-0.2113;-1.3136;1.375
12.717997;0.2892;-0.1665;-1.1146;1.163
12.723347;0.2146;-0.1385;-0.9088;0.944
12.729164;0.1730;-0.1323;-0.6694;0.704
12.733805;0.1592;-0.1842;-0.4390;0.502
12.738659;0.1514;-0.2397;-0.2409;0.372
12.743697;0.1761;-0.3065;-0.0745;0.361
12.748719;0.1954;-0.3539;0.0629;0.409
12.753422;0.2386;-0.3680;0.1262;0.456
12.759367;0.2512;-0.3372;0.1468;0.445
12.763764;0.2718;-0.3214;0.1583;0.450
12.768379;0.2937;-0.2850;0.1538;0.437
12.773243;0.3005;-0.2209;0.1571;0.405
12.779253;0.2828;-0.1674;0.1635;0.367
12.784742;0.2264;-0.0985;0.1565;0.292
12.788993;0.1410;-0.0404;0.1600;0.217
12.793409;0.0407;0.0164;0.1860;0.191
12.799529;-0.0436;0.0480;0.2130;0.223
12.803524;-0.1337;0.0857;0.2291;0.279
12.808720;-0.2133;0.1245;0.2558;0.356
12.813671;-0.2900;0.1839;0.2620;0.432
12.825951;-0.3618;0.2162;0.2667;0.499
12.829612;-0.4004;0.2358;0.2459;0.526
12.832629;-0.4278;0.2359;0.2042;0.529
12.833205;-0.4395;0.2239;0.1797;0.525
12.838588;-0.4238;0.2120;0.1698;0.503
12.843246;-0.3904;0.2171;0.1768;0.480
12.851102;-0.3300;0.2035;0.2171;0.444
12.856749;-0.2596;0.1905;0.2547;0.411
12.858755;-0.2031;0.1589;0.2609;0.367
12.863478;-0.1485;0.1256;0.2548;0.321
12.868911;-0.0959;0.1028;0.2145;0.256
12.873363;-0.0570;0.0784;0.1640;0.191
12.878631;-0.0336;0.0599;0.1200;0.138
12.884295;-0.0184;0.0518;0.1134;0.126
12.888874;0.0130;0.0543;0.1538;0.164
12.894148;0.0055;0.0552;0.1932;0.201
12.899200;-0.0144;0.0280;0.2512;0.253
12.903903;-0.0420;0.0277;0.2991;0.303
12.909117;-0.0510;0.0109;0.3490;0.353
12.916196;-0.0653;-0.0152;0.3869;0.393
12.918535;-0.0680;-0.0150;0.3745;0.381
12.924679;-0.0446;-0.0126;0.3694;0.372
12.929332;-0.0069;-0.0317;0.3572;0.359
12.935947;0.0191;-0.0558;0.3501;0.355
12.948633;0.0743;-0.0969;0.3241;0.346
12.949459;0.1061;-0.1120;0.2960;0.334
12.950130;0.1578;-0.1299;0.2612;0.332
12.959685;0.1889;-0.1241;0.2529;0.339
12.960736;0.2303;-0.1522;0.2378;0.364
12.964715;0.2584;-0.1758;0.2158;0.380
12.969078;0.2776;-0.2021;0.2180;0.407
12.973953;0.2926;-0.2380;0.2036;0.429
12.979767;0.2936;-0.2453;0.1821;0.424
12.985390;0.2831;-0.2622;0.1368;0.409
12.989035;0.2683;-0.2504;0.0963;0.379
12.994092;0.2323;-0.2290;0.0702;0.334
13.000025;0.1896;-0.1930;0.0390;0.273
13.003639;0.1591;-0.1474;0.0340;0.220
13.009648;0.1263;-0.1182;0.0406;0.178
13.013585;0.0795;-0.1009;0.0638;0.143
13.019051;0.0160;-0.0761;-0.1574;0.176
13.023765;-0.6277;0.3806;-7.6900;7.725
13.029310;-0.6444;0.9697;-7.9783;8.063
13.037463;-0.3208;0.5111;-2.9760;3.037
13.051018;-0.5887;0.0081;-1.9903;2.076
13.052090;-0.2912;-0.3110;-0.2914;0.516
13.052580;0.1683;-0.4467;1.6393;1.707
13.060100;0.0732;-0.2933;2.8926;2.908
13.061474;-0.3151;-0.0920;3.6309;3.646
13.065140;-0.6716;-0.0131;3.4918;3.556
13.068975;-0.9828;0.0179;2.8563;3.021
13.074438;-1.1891;0.0761;2.2647;2.559
13.079623;-1.2257;0.1573;1.5822;2.008
